,Utterance,Emotion,tokens,token_len
4430,"Well, we believe it originated here.  In the Aroma Room.",neutral,"['well', 'believe', 'originated', 'aroma', 'room']",5
4431,All right. Did everyone get out okay?,fear,"['right', 'everyone', 'get', 'okay']",4
4432,"Well, the giraffe’s okay. And so is the pirate.",neutral,"['well', 'giraffe', 'okay', 'pirate']",4
4433,Ohh. What is this?,surprise,['ohh'],1
4434,"No Phoebe, don’t look! You don’t want to see what’s under there!!",fear,"['phoebe', 'dont', 'look', 'dont', 'want', 'see', 'whats']",7
4435,"Ohh, the-the Foster puppets!",sadness,"['ohh', 'thethe', 'foster', 'puppet']",4
4436,Hey! How long until Pete’s fight?,neutral,"['hey', 'long', 'petes', 'fight']",4
4437,"Oh, about five minutes. Right now they’re interviewing his opponent. Apparently he trains by going to Iran and pulling the arms off thieves.",neutral,"['oh', 'five', 'minute', 'right', 'theyre', 'interviewing', 'opponent', 'apparently', 'train', 'going', 'iran', 'pulling', 'arm', 'thief']",14
4438,Hot dog?,neutral,"['hot', 'dog']",2
4439,"Four, please.  I’m really nervous.  Thank you.",fear,"['four', 'please', 'im', 'really', 'nervous', 'thank']",6
4440,"So Ross, how umm, how did it go with Bonnie?",neutral,"['ross', 'umm', 'go', 'bonnie']",4
4441,"I gotta tell you, I-I wasn’t expecting to like her at all, I mean I actually wasn’t expecting to like anyone right now, but she’s really terrific.",joy,"['got', 'ta', 'tell', 'ii', 'wasnt', 'expecting', 'like', 'mean', 'actually', 'wasnt', 'expecting', 'like', 'anyone', 'right', 'shes', 'really', 'terrific']",17
4442,"Ohh, that’s too bad!",sadness,"['ohh', 'thats', 'bad']",3
4443,"No, I-I’m saying I liked her.",joy,"['iim', 'saying', 'liked']",3
4444,"Yeah, y'know what, there are other fish in the sea.",neutral,"['yeah', 'yknow', 'fish', 'sea']",4
4445,"Pheebs, I think she’s great. Okay? We’re going out again.",joy,"['pheebs', 'think', 'shes', 'great', 'okay', 'going']",6
4446,"Okay, I hear you! Are you capable of talking about any thing else?",disgust,"['okay', 'hear', 'capable', 'talking', 'thing', 'else']",6
4447,Hey! Which one’s my turkey burger?,neutral,"['hey', 'one', 'turkey', 'burger']",4
4448,"Ahh, the one next to my foot. Sorry.",neutral,"['ahh', 'one', 'next', 'foot', 'sorry']",5
4449,"Hey, the fight’s starting!",joy,"['hey', 'fight', 'starting']",3
4450,"Okay, we’ll be right in.  So ah, did your boss try to slap you again today?",neutral,"['okay', 'well', 'right', 'ah', 'bos', 'try', 'slap', 'today']",8
4451,Nine times!,anger,"['nine', 'time']",2
4452,"Okay, I had to put on lotion!",neutral,"['okay', 'put', 'lotion']",3
4453,"But, it’s gonna be okay, because as of tomorrow I’m conducting an experiment, and if all goes as planned, my butt will be smack free.",neutral,"['gon', 'na', 'okay', 'tomorrow', 'im', 'conducting', 'experiment', 'go', 'planned', 'butt', 'smack', 'free']",12
4454,Fight’s over!,neutral,['fight'],1
4455,"Okay, okay, here she comes!  How do I look? Do I look like a guy who doesn’t want to get married?",neutral,"['okay', 'okay', 'come', 'look', 'look', 'like', 'guy', 'doesnt', 'want', 'get', 'married']",11
4456,"Yeah! And also, a little like a French guy.  I never noticed that before.",surprise,"['yeah', 'also', 'little', 'like', 'french', 'guy', 'never', 'noticed']",8
4457,Hi guys!,joy,"['hi', 'guy']",2
4458,Hey!,neutral,['hey'],1
4459,What are you up too?,neutral,[],0
4460,"Oh, just hanging out, talkin’ about uh, websites.",neutral,"['oh', 'hanging', 'talkin', 'uh', 'website']",5
4461,"Yeah, we saw this really interesting website about marriage and how totally unnecessary it is and how its just a way for the government to keep tabs on you.",neutral,"['yeah', 'saw', 'really', 'interesting', 'website', 'marriage', 'totally', 'unnecessary', 'way', 'government', 'keep', 'tab']",12
4462,"Yeah, Big Brother.",neutral,"['yeah', 'big', 'brother']",3
4463,Well that’s a little crazy. Although I am y’know glad to hear that you’re branching out on what you look at on the Internet.,neutral,"['well', 'thats', 'little', 'crazy', 'although', 'yknow', 'glad', 'hear', 'youre', 'branching', 'look', 'internet']",12
4464,"Yeah, well… Y’know, it just got me thinking though, why would anybody ever want to get married huh?",neutral,"['yeah', 'well', 'yknow', 'got', 'thinking', 'though', 'would', 'anybody', 'ever', 'want', 'get', 'married', 'huh']",13
4465,Why?! To celebrate your relationship! To solidify your commitment! To declare your love for one another to the world!,anger,"['celebrate', 'relationship', 'solidify', 'commitment', 'declare', 'love', 'one', 'another', 'world']",9
4466,Eh,neutral,['eh'],1
4467,Okay well that’s good to know.,sadness,"['okay', 'well', 'thats', 'good', 'know']",5
4468,The Mr. Bowmont’s here!!!,joy,"['mr', 'bowmonts']",2
4469,"Oh that’s great, my friend Joey’s in the movie business.",joy,"['oh', 'thats', 'great', 'friend', 'joeys', 'movie', 'business']",7
4470,Y’know who I ran into from school? Howie.,neutral,"['yknow', 'ran', 'school', 'howie']",4
4471,My friend’s name is Joey.,neutral,"['friend', 'name', 'joey']",3
4472,Apparently Howie’s editing now.,neutral,"['apparently', 'howies', 'editing']",3
4473,"Yeah, he-he-he calls me up and asks me if he can edit my new movie.",anger,"['yeah', 'hehehe', 'call', 'asks', 'edit', 'new', 'movie']",7
4474,Can you believe that?!,surprise,['believe'],1
4475,Y’know I-I-I haven’t spoken to him in like ten years and he asks me for a favor!,surprise,"['yknow', 'iii', 'havent', 'spoken', 'like', 'ten', 'year', 'asks', 'favor']",9
4476,"Yeah, I’ve always hated that Howie.",disgust,"['yeah', 'ive', 'always', 'hated', 'howie']",5
4477,"No, no ""How you doing?"" Man, I mean not even a cup of coffee first!",disgust,"['man', 'mean', 'even', 'cup', 'coffee', 'first']",6
4478,The nerve huh?,disgust,"['nerve', 'huh']",2
4479,Yeah!,disgust,['yeah'],1
4480,Refill?,neutral,['refill'],1
4481,Hey! How you doing?,joy,['hey'],1
4482,"Good! Good, long time no see.",joy,"['good', 'good', 'long', 'time', 'see']",5
4483,Like your sweater.,neutral,"['like', 'sweater']",2
4484,"Oh hey, right back at ya.",neutral,"['oh', 'hey', 'right', 'back', 'ya']",5
4485,"Oh, it’s crazy about Rachel huh?",surprise,"['oh', 'crazy', 'rachel', 'huh']",4
4486,"Yeah. She—Well, she’s one crazy lady?",surprise,"['yeah', 'shewell', 'shes', 'one', 'crazy', 'lady']",6
4487,So whose is it?,neutral,['whose'],1
4488,"Umm, I don’t some Italian guy. Come on, read your own label. See you later.",neutral,"['umm', 'dont', 'italian', 'guy', 'come', 'read', 'label', 'see', 'later']",9
4489,Okay.,neutral,['okay'],1
4490,He is so weird.,anger,['weird'],1
4491,You wanna fool around with Joey?,surprise,"['wan', 'na', 'fool', 'around', 'joey']",5
4492,Yeah!,joy,['yeah'],1
4493,"You know, ever since I had that dream about him, and can't    get it out of my head!",joy,"['know', 'ever', 'since', 'dream', 'cant', 'get', 'head']",7
4494,"And what's the big deal, people do it all the time!",surprise,"['whats', 'big', 'deal', 'people', 'time']",5
4495,Who? Who do you know that are friends that just fool around?,surprise,"['know', 'friend', 'fool', 'around']",4
4496,"Ok, off the top of my head... Don and Janet.",neutral,"['ok', 'top', 'head', 'janet']",4
4497,"Who, who are they?",neutral,[],0
4498,I know them from work.,neutral,"['know', 'work']",2
4499,Both of them?,surprise,[],0
4500,"No, one of them...",neutral,['one'],1
4501,Which one?,neutral,['one'],1
4502,"I don't know, what were the names I just said?",neutral,"['dont', 'know', 'name', 'said']",4
4503,"Rachel, things can get incredibly complicated.",anger,"['rachel', 'thing', 'get', 'incredibly', 'complicated']",5
4504,"All right, all right, you're right",sadness,"['right', 'right', 'youre', 'right']",4
4505,What the hell are you cooking!,surprise,"['hell', 'cooking']",2
4506,Oh my God! How did you get back here?!,surprise,"['oh', 'god', 'get', 'back']",4
4507,"Fire alarm?  Oh! Hi, officer—fireman, can-can I help you?",surprise,"['fire', 'alarm', 'oh', 'hi', 'officerfireman', 'cancan', 'help']",7
4508,We found your fire alarm in the trash chute.,anger,"['found', 'fire', 'alarm', 'trash', 'chute']",5
4509,That’s not mine.,neutral,"['thats', 'mine']",2
4510,Yes it is.,neutral,['yes'],1
4511,How do you know?,fear,['know'],1
4512,"The next time you want to dump a fire alarm in a trash chute, don’t wrap it in a blanket that says, ""Property of Phoebe Buffay not Monica.""",disgust,"['next', 'time', 'want', 'dump', 'fire', 'alarm', 'trash', 'chute', 'dont', 'wrap', 'blanket', 'say', 'property', 'phoebe', 'buffay', 'monica']",16
4513,"Okay do you—Okay, do you have a search warrant? Because the last time I checked this was still America!",anger,"['okay', 'youokay', 'search', 'warrant', 'last', 'time', 'checked', 'still', 'america']",9
4514,"Please reattach this, it’s against the law to disconnect them.",neutral,"['please', 'reattach', 'law', 'disconnect']",4
4515,Fine!  But please God.. tell me how to stop them from going off!,anger,"['fine', 'please', 'god', 'tell', 'stop', 'going']",6
4516,There’s a reset button under the plastic cover.,neutral,"['there', 'reset', 'button', 'plastic', 'cover']",5
4517,There’s a reset button?!,surprise,"['there', 'reset', 'button']",3
4518,My God!,surprise,['god'],1
4519,Why didn’t I see that!,surprise,"['didnt', 'see']",2
4520,"Reset button, reset button, where is there a reset button?",neutral,"['reset', 'button', 'reset', 'button', 'reset', 'button']",6
4521,Oh here it is!,joy,['oh'],1
4522,Oh!,surprise,['oh'],1
4523,"Ohh, God!",joy,"['ohh', 'god']",2
4524,"Four letters: ""Circle or hoop"".",neutral,"['four', 'letter', 'circle', 'hoop']",4
4525,"Ring dammit, ring!",anger,"['ring', 'dammit', 'ring']",3
4526,Thanks.,neutral,['thanks'],1
4527,"Hey, you know our phone's not working?",surprise,"['hey', 'know', 'phone', 'working']",4
4528,What?!,surprise,[],0
4529,"I tried to call you from the coffee shop, and there was no answer.",neutral,"['tried', 'call', 'coffee', 'shop', 'answer']",5
4530,"I turned it off. Mother of God, I turned it off!",anger,"['turned', 'mother', 'god', 'turned']",4
4531,Just like you told her you did!  ... Just pointing out the irony.,neutral,"['like', 'told', 'pointing', 'irony']",4
4532,"Hey, so listen, I went across the street and talked to the doorman- I got the peeper's name! Can I use the phone?",anger,"['hey', 'listen', 'went', 'across', 'street', 'talked', 'doorman', 'got', 'peeper', 'name', 'use', 'phone']",12
4533,Nngghhh!!!!!!!,anger,['nngghhh'],1
4534,"Can I use your phone?  Yeah, the number for a Sidney Marks, please.",neutral,"['use', 'phone', 'yeah', 'number', 'sidney', 'mark', 'please']",7
4535,"""Heating device.""",neutral,"['heating', 'device']",2
4536,Radiator.,neutral,['radiator'],1
4537,Five letters.,neutral,"['five', 'letter']",2
4538,Rdtor.,neutral,['rdtor'],1
4539,"Yeah, is Sidney there?  Oh, this is?  Sidney's a woman.",surprise,"['yeah', 'sidney', 'oh', 'sidney', 'woman']",5
4540,"Well, you'll have to wait your turn.",neutral,"['well', 'youll', 'wait', 'turn']",4
4541,"Well, how long do you think it'll be?",neutral,"['well', 'long', 'think', 'itll']",4
4542,Any minute now.,neutral,['minute'],1
4543,"Hey, this-  Heyy...",joy,"['hey', 'heyy']",2
4544,Hey.,neutral,['hey'],1
4545,Hey! Any good mail?,neutral,"['hey', 'good', 'mail']",3
4546,"Yes, you got something from the Screen Actor’s Guild.",neutral,"['yes', 'got', 'something', 'screen', 'actor', 'guild']",6
4547,"Ooh, it’s probably a residual check, hey can you open it for me, I’m kinda….",neutral,"['ooh', 'probably', 'residual', 'check', 'hey', 'open', 'im', 'kinda']",8
4548,"""Benefits lapsed.""",neutral,"['benefit', 'lapsed']",2
4549,Hmm that’s weird. I don’t remember being in a move called benefits lapsed.,neutral,"['hmm', 'thats', 'weird', 'dont', 'remember', 'move', 'called', 'benefit', 'lapsed']",9
4550,"Okay, it’s not a check. They’re saying your health insurance expired because, you didn’t work enough last year.",neutral,"['okay', 'check', 'theyre', 'saying', 'health', 'insurance', 'expired', 'didnt', 'work', 'enough', 'last', 'year']",12
4551,Let me see that!,surprise,"['let', 'see']",2
4552,All right.,neutral,['right'],1
4553,"Oh, I can’t believe this!",surprise,"['oh', 'cant', 'believe']",3
4554,This sucks!,anger,['suck'],1
4555,"When I had insurance I could get hit by a bus or catch on fire, y’know?",fear,"['insurance', 'could', 'get', 'hit', 'bus', 'catch', 'fire', 'yknow']",8
4556,And it wouldn’t matter.,anger,"['wouldnt', 'matter']",2
4557,Now I gotta be careful?,anger,"['got', 'ta', 'careful']",3
4558,"I’m sorry man, there’s never a good time to  stop catching on fire.",sadness,"['im', 'sorry', 'man', 'there', 'never', 'good', 'time', 'stop', 'catching', 'fire']",10
4559,"All right well, I guess I gotta go get a job. I’m gonna go see my agent.",sadness,"['right', 'well', 'guess', 'got', 'ta', 'go', 'get', 'job', 'im', 'gon', 'na', 'go', 'see', 'agent']",14
4560,"Okay, make sure you look both ways before you cross the street.",neutral,"['okay', 'make', 'sure', 'look', 'way', 'cross', 'street']",7
4561,look both ways before you cross the street.,joy,"['look', 'way', 'cross', 'street']",4
4562,I can't believe Phoebe's gonna have her babies!,surprise,"['cant', 'believe', 'phoebe', 'gon', 'na', 'baby']",6
4563,"I know, it's beautiful. Amazing.",joy,"['know', 'beautiful', 'amazing']",3
4564,"I had to kiss Phoebe and Rachel every time I left a room, I mean it's too bad they didn't see us having sex.",neutral,"['kiss', 'phoebe', 'rachel', 'every', 'time', 'left', 'room', 'mean', 'bad', 'didnt', 'see', 'u', 'sex']",13
4565,Do you know anything about women?,neutral,"['know', 'anything', 'woman']",3
4566,No.,neutral,[],0
4567,That's all right.,neutral,"['thats', 'right']",2
4568,Okay.,neutral,['okay'],1
4569,Remember when we went to Central Park and rented boats?.. That was fun.,joy,"['remember', 'went', 'central', 'park', 'rented', 'boat', 'fun']",7
4570,Yeah. He could row like a viking.,joy,"['yeah', 'could', 'row', 'like', 'viking']",5
4571,Hi.,neutral,['hi'],1
4572,Mmm.,neutral,['mmm'],1
4573,So how'd it go?,neutral,"['howd', 'go']",2
4574,"Oh, y'know..",neutral,"['oh', 'yknow']",2
4575,Did he mention us?,neutral,"['mention', 'u']",2
4576,He said he's really gonna miss you guys.,sadness,"['said', 'he', 'really', 'gon', 'na', 'miss', 'guy']",7
4577,"You had a rough day, huh.. c'mere.",sadness,"['rough', 'day', 'huh', 'cmere']",4
4578,...love you.,joy,['love'],1
4579,Are you're hands still wet?,neutral,"['youre', 'hand', 'still', 'wet']",4
4580,"Uh, moist, yeah.",neutral,"['uh', 'moist', 'yeah']",3
4581,Let's dry 'em again.,neutral,"['let', 'dry', 'em']",3
4582,Oh my God! Oh my God!!,sadness,"['oh', 'god', 'oh', 'god']",4
4583,Still crying?,surprise,"['still', 'cry']",2
4584,Like a,neutral,['like'],1
4585,"Y’know, I only know of two surefire ways to shut a man up. And one of them is sex.",neutral,"['yknow', 'know', 'two', 'surefire', 'way', 'shut', 'man', 'one', 'sex']",9
4586,What’s the other one?,neutral,"['whats', 'one']",2
4587,"I don’t know, I’ve never had to use the other one.",neutral,"['dont', 'know', 'ive', 'never', 'use', 'one']",6
4588,"I’m just saying y’know, if we’re having sex, he’s not gonna be talking.",neutral,"['im', 'saying', 'yknow', 'sex', 'he', 'gon', 'na', 'talking']",8
4589,Oh that’s right.,joy,"['oh', 'thats', 'right']",3
4590,You’re the talker.,neutral,"['youre', 'talker']",2
4591,"Anyway uh, great idea!",joy,"['anyway', 'uh', 'great', 'idea']",4
4592,"Umm, I gotta go to the store; I told him that I would buy him some more tissues.",neutral,"['umm', 'got', 'ta', 'go', 'store', 'told', 'would', 'buy', 'tissue']",9
4593,"Oh, we have some",neutral,['oh'],1
4594,No you don’t!,anger,['dont'],1
4595,"Okay, yeah.  Triple A can pick us up.",neutral,"['okay', 'yeah', 'triple', 'pick', 'u']",5
4596,"Yeah, what town are we near?",neutral,"['yeah', 'town', 'near']",3
4597,"Freemont. West-Westmont, ah Westburg?",neutral,"['freemont', 'westwestmont', 'ah', 'westburg']",4
4598,Then why are you answering? Do you at least know what route we’re on?,anger,"['answering', 'least', 'know', 'route']",4
4599,"Yeah, we are definitely on Route 27.",neutral,"['yeah', 'definitely', 'route']",3
4600,"Okay.  We are at a rest stop on Route 27. Okay.  There is no Route 27.   Okay, either 93 or 76?",neutral,"['okay', 'rest', 'stop', 'route', 'okay', 'route', 'okay', 'either']",8
4601,"I don’t know, I’m sorry, I always slept in the back when we drove up here.",sadness,"['dont', 'know', 'im', 'sorry', 'always', 'slept', 'back', 'drove']",8
4602,"Hey, can you send somebody up and down 76 and check every rest stop, and, and also 93?",neutral,"['hey', 'send', 'somebody', 'check', 'every', 'rest', 'stop', 'also']",8
4603,Okay!,neutral,['okay'],1
4604,"Yeah, no they don’t do that.",neutral,"['yeah', 'dont']",2
4605,"Ugh, okay, well somebody will come and save us.",neutral,"['ugh', 'okay', 'well', 'somebody', 'come', 'save', 'u']",7
4606,Who?,anger,[],0
4607,I mean have you seen a car come by here in the last hour and a half?,fear,"['mean', 'seen', 'car', 'come', 'last', 'hour', 'half']",7
4608,"I think we should call Ross, maybe he can get a car and come pick us up.",neutral,"['think', 'call', 'ross', 'maybe', 'get', 'car', 'come', 'pick', 'u']",9
4609,"No! No, I am not getting in a car with Ross, we will just have to live here!",anger,"['getting', 'car', 'ross', 'live']",4
4610,But if...,fear,[],0
4611,"No you guys, I am not getting in a car with him, you’ll have to think of something else.",anger,"['guy', 'getting', 'car', 'youll', 'think', 'something', 'else']",7
4612,"Oh good, oh Joey and Chandler are back.",joy,"['oh', 'good', 'oh', 'joey', 'chandler', 'back']",6
4613,So the going for help went well?,neutral,"['going', 'help', 'went', 'well']",4
4614,"I’m telling you man, I saw it.",neutral,"['im', 'telling', 'man', 'saw']",4
4615,"Yeah, well, you’re wrong! Okay, you’re wrong.",anger,"['yeah', 'well', 'youre', 'wrong', 'okay', 'youre', 'wrong']",7
4616,"I’m not wrong! I wish I was. I’m sorry. Bet that barium enema doesn’t sound so bad now, huh?",sadness,"['im', 'wrong', 'wish', 'im', 'sorry', 'bet', 'barium', 'enema', 'doesnt', 'sound', 'bad', 'huh']",12
4617,I know.,neutral,['know'],1
4618,Let’s try a look…of far off…wonderment.,neutral,"['let', 'try', 'lookof', 'far', 'offwonderment']",5
4619,"Okay, we’ll-we’ll gaze into our future and we’ll think about our marriage and the days to come.",joy,"['okay', 'wellwell', 'gaze', 'future', 'well', 'think', 'marriage', 'day', 'come']",9
4620,Chandler!,surprise,['chandler'],1
4621,What is the matter with your face?!,surprise,"['matter', 'face']",2
4622,"I mean this picture is supposed to say ""Geller and Bing to be married,"" not ""Local woman saves drowning moron!""",anger,"['mean', 'picture', 'supposed', 'say', 'geller', 'bing', 'married', 'local', 'woman', 'save', 'drowning', 'moron']",12
4623,Hey!,anger,['hey'],1
4624,Don’t laugh at him!,anger,"['dont', 'laugh']",2
4625,He’s,neutral,['he'],1
4626,We’re gonna find love!,joy,"['gon', 'na', 'find', 'love']",4
4627,Definitely!,joy,['definitely'],1
4628,"Yeah, I’m pretty confident about that.",neutral,"['yeah', 'im', 'pretty', 'confident']",4
4629,That’s what makes it so easy for me to be 80% happy for Monica and Chandler!,joy,"['thats', 'make', 'easy', 'happy', 'monica', 'chandler']",6
4630,It would be nice to have a little guarantee though.,neutral,"['would', 'nice', 'little', 'guarantee', 'though']",5
4631,What do you mean?,neutral,['mean'],1
4632,"Well y’know, some people make deals with a friend, like if neither of them are married by the time they’re 40, they marry each other.",neutral,"['well', 'yknow', 'people', 'make', 'deal', 'friend', 'like', 'neither', 'married', 'time', 'theyre', 'marry']",12
4633,You mean a backup?,neutral,"['mean', 'backup']",2
4634,Exactly!,joy,['exactly'],1
4635,"Yeah, yeah I got that.",neutral,"['yeah', 'yeah', 'got']",3
4636,You do?,neutral,[],0
4637,Hm-mmm,neutral,['hmmmm'],1
4638,Who?,neutral,[],0
4639,Yeah!,joy,['yeah'],1
4640,Are you serious?!,surprise,['serious'],1
4641,"Yeah, I locked him years ago!",joy,"['yeah', 'locked', 'year', 'ago']",4
4642,"Wh… So… If neither of you are married by the time you’re 40, you’re gonna marry Joey.",surprise,"['wh', 'neither', 'married', 'time', 'youre', 'youre', 'gon', 'na', 'marry', 'joey']",10
4643,"Yep, we shook on it. Yeah but believe me that is not how he wanted to seal the deal.",neutral,"['yep', 'shook', 'yeah', 'believe', 'wanted', 'seal', 'deal']",7
4644,"Oh, seriously?",surprise,"['oh', 'seriously']",2
4645,"Yeah uh, what am I gonna do?",neutral,"['yeah', 'uh', 'gon', 'na']",4
4646,"Yeah, I’m sorry man.  You wanna go watch?",neutral,"['yeah', 'im', 'sorry', 'man', 'wan', 'na', 'go', 'watch']",8
4647,Yeah!,joy,['yeah'],1
4648,Good morning.,neutral,"['good', 'morning']",2
4649,"Hi Tag! Hey, so did you have fun with uh, with Joey last night?",joy,"['hi', 'tag', 'hey', 'fun', 'uh', 'joey', 'last', 'night']",8
4650,Oh yeah! We went to the Knicks game.,joy,"['oh', 'yeah', 'went', 'knicks', 'game']",5
4651,Ohh that’s nice.,joy,"['ohh', 'thats', 'nice']",3
4652,Then we went to this bar and he hooked us up with all these women!,joy,"['went', 'bar', 'hooked', 'u', 'woman']",5
4653,Wo-women? You mean like old women?,disgust,"['wowomen', 'mean', 'like', 'old', 'woman']",5
4654,"Well kinda old, like 30.",neutral,"['well', 'kinda', 'old', 'like']",4
4655,Oh.,neutral,['oh'],1
4656,"And I never used to be able to just talk to girls in bars, but I got like 20 phone numbers last night.",surprise,"['never', 'used', 'able', 'talk', 'girl', 'bar', 'got', 'like', 'phone', 'number', 'last', 'night']",12
4657,"That’s great! Wow man, so Joey must’ve really taught you some stuff huh?",surprise,"['thats', 'great', 'wow', 'man', 'joey', 'mustve', 'really', 'taught', 'stuff', 'huh']",10
4658,A little.,neutral,['little'],1
4659,Yeah?,surprise,['yeah'],1
4660,How you doin’?,neutral,['doin'],1
4661,"Phoebe, we are so proud of you! You're amazing!",joy,"['phoebe', 'proud', 'youre', 'amazing']",4
4662,I know.,neutral,['know'],1
4663,So does it really hurt as bad as they say?,joy,"['really', 'hurt', 'bad', 'say']",4
4664,What did you just say?,surprise,['say'],1
4665,You roll another hard eight and we get married here tonight.,joy,"['roll', 'another', 'hard', 'eight', 'get', 'married', 'tonight']",7
4666,Are you serious?!,surprise,['serious'],1
4667,Yes! I love you! I've never loved anybody as much as I love you.,joy,"['yes', 'love', 'ive', 'never', 'loved', 'anybody', 'much', 'love']",8
4668,I've never loved anybody as much as I love you.,joy,"['ive', 'never', 'loved', 'anybody', 'much', 'love']",6
4669,"Okay, so if an eight comes up, we take it as a sign and we do it!",joy,"['okay', 'eight', 'come', 'take', 'sign']",5
4670,What do you say?,neutral,['say'],1
4671,Okay!,joy,['okay'],1
4672,Okay! Come on! Let's go! All right!,joy,"['okay', 'come', 'let', 'go', 'right']",5
4673,Okay! That's a four! And where-where's the other one?,anger,"['okay', 'thats', 'four', 'wherewheres', 'one']",5
4674,It went under the table.,neutral,"['went', 'table']",2
4675,"Nobody move!  Okay, you look that way; I'll look this way!",anger,"['nobody', 'move', 'okay', 'look', 'way', 'ill', 'look', 'way']",8
4676,Here it is! Here it is!,joy,[],0
4677,That could be a four or a five. It's your call.,neutral,"['could', 'four', 'five', 'call']",4
4678,It's a four.,neutral,['four'],1
4679,I think so too.,neutral,['think'],1
4680,Well that’s it. I’m done. Whew!  There come the meat sweats.,joy,"['well', 'thats', 'im', 'done', 'whew', 'come', 'meat', 'sweat']",8
4681,"Well Joey, we’re all…we’re all very proud of you.",joy,"['well', 'joey', 'allwere', 'proud']",4
4682,"Yes, I believe we can expect a call from the President any moment now.",neutral,"['yes', 'believe', 'expect', 'call', 'president', 'moment']",6
4683,Is there anything we can do for you?,neutral,['anything'],1
4684,"No just, nobody press on my stomach.",neutral,"['nobody', 'press', 'stomach']",3
4685,You can keep those pants by the way.,neutral,"['keep', 'pant', 'way']",3
4686,Whoa—hey—wh-wh-what do you got there? What is that? Pie?,surprise,"['whoaheywhwhwhat', 'got', 'pie']",3
4687,"Yeah, you want some?",neutral,"['yeah', 'want']",2
4688,"Ah, just cut me a little sliver.",joy,"['ah', 'cut', 'little', 'sliver']",4
4689,A little bigger.,neutral,"['little', 'bigger']",2
4690,Little bigger.,neutral,"['little', 'bigger']",2
4691,What?!,surprise,[],0
4692,Are you afraid you’re gonna run out?!,anger,"['afraid', 'youre', 'gon', 'na', 'run']",5
4693,Cut me a real piece!,anger,"['cut', 'real', 'piece']",3
4694,"Phoebe, oh my God! Wh-wh-what are you doing here?",surprise,"['phoebe', 'oh', 'god', 'whwhwhat']",4
4695,"I need to talk to you, it’s pretty urgent. It’s about Monica and Chandler.",neutral,"['need', 'talk', 'pretty', 'urgent', 'monica', 'chandler']",6
4696,Oh my God!,surprise,"['oh', 'god']",2
4697,"Of course, of course.",neutral,"['course', 'course']",2
4698,"Umm, would you please excuse me for a moment?",neutral,"['umm', 'would', 'please', 'excuse', 'moment']",5
4699,"Umm, do you know each other’s hometowns?",neutral,"['umm', 'know', 'others', 'hometown']",4
4700,Why don’t you…   Wh-what’s going on?,fear,"['dont', 'whwhats', 'going']",3
4701,"Well, umm, not much.",neutral,"['well', 'umm', 'much']",3
4702,"But, I was just thinking that since those guys just got engaged that maybe it would be nice if they had some privacy, y’know?",neutral,"['thinking', 'since', 'guy', 'got', 'engaged', 'maybe', 'would', 'nice', 'privacy', 'yknow']",10
4703,"So, could I just move in with you for a couple days?",neutral,"['could', 'move', 'couple', 'day']",4
4704,"Umm, okay, yeah, sure. But wh-what’s wrong with Monica and Chandler?",neutral,"['umm', 'okay', 'yeah', 'sure', 'whwhats', 'wrong', 'monica', 'chandler']",8
4705,Nothing..Why?,neutral,['nothingwhy'],1
4706,"Phoebe, you said it was urgent!",anger,"['phoebe', 'said', 'urgent']",3
4707,Oh yeah it is! I’m going to the movies and it starts in like five minutes.,neutral,"['oh', 'yeah', 'im', 'going', 'movie', 'start', 'like', 'five', 'minute']",9
4708,Do you realize I have a classroom full of students?,anger,"['realize', 'classroom', 'full', 'student']",4
4709,"Oh, I’m sorry. I’m so rude. Does anyone want to come to the movies?",neutral,"['oh', 'im', 'sorry', 'im', 'rude', 'anyone', 'want', 'come', 'movie']",9
4710,"Look, look, there’s got to be a way we can work past this.",sadness,"['look', 'look', 'there', 'got', 'way', 'work', 'past']",7
4711,"Okay,  I can’t imagine, I can’t imagine my life without you.",fear,"['okay', 'cant', 'imagine', 'cant', 'imagine', 'life', 'without']",7
4712,"Without, without these arms, and your face, and this heart.",sadness,"['without', 'without', 'arm', 'face', 'heart']",5
4713,"Your good heart Rach,  and, and....",sadness,"['good', 'heart', 'rach']",3
4714,No.,neutral,[],0
4715,"I can’t, you’re a totally different person to me now.",sadness,"['cant', 'youre', 'totally', 'different', 'person']",5
4716,"I used to think of you as somebody that would never, ever hurt me, ever.",sadness,"['used', 'think', 'somebody', 'would', 'never', 'ever', 'hurt', 'ever']",8
4717,"God, and now I just can’t stop picturing with her, I can’t,  it doesn’t matter what you say, or what you do, Ross.",sadness,"['god', 'cant', 'stop', 'picturing', 'cant', 'doesnt', 'matter', 'say', 'ross']",9
4718,"It’s just changed, everything.",sadness,"['changed', 'everything']",2
4719,Forever.,sadness,['forever'],1
4720,"Yeah, but this can’t be it, I mean.",sadness,"['yeah', 'cant', 'mean']",3
4721,Then how come it is?,sadness,['come'],1
4722,"Windows are clean, candels are lit.",neutral,"['window', 'clean', 'candels', 'lit']",4
4723,"Uh, belt's to tight, gotta change the belt.",joy,"['uh', 'belt', 'tight', 'got', 'ta', 'change', 'belt']",7
4724,Did I turn the fish?,neutral,"['turn', 'fish']",2
4725,"No, cause I made lasagne.",neutral,"['cause', 'made', 'lasagne']",3
4726,Am I out of control?,anger,['control'],1
4727,Just a touch.,neutral,['touch'],1
4728,"Mon, I don't understand.",neutral,"['mon', 'dont', 'understand']",3
